,name,github_id,labels,resource,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,github_release_downloads,monthly_downloads,projectrank_placing,doc_url,trending
0,Best-of-Robotics-Simulators,knmcguire/best-of-robot-simulators,[],True,AirSim,https://github.com/knmcguire/best-of-robot-simulators,https://github.com/knmcguire/best-of-robot-simulators,CC-BY-SA-4.0,2025-04-09 08:06:08,2025-07-02 11:02:25,2025-07-02 11:02:21,147,147.0,46,11,64.0,13.0,88.0,788,2025-07-02 11:03:10,2025.07.02,13.0,"A Best-of-list of Robot Simulators, re-generated weekly on Wednesdays.",8,0,True,,,,,
1,WeBots,cyberbotics/webots,[],,AirSim,https://github.com/cyberbotics/webots,https://www.cyberbotics.com/,Apache-2.0,2018-11-05 14:09:10,2025-07-02 23:16:22,2025-06-26 06:00:38,15709,12.0,1771,73,4641.0,223.0,1642.0,3645,2025-02-04 12:36:33,R2025a,17.0,Webots Robot Simulator.,137,29,True,1661308.0,21029.0,1.0,,
2,Nav2,ros-navigation/navigation2,[],,Algorithms,https://github.com/ros-navigation/navigation2,https://github.com/ros-navigation/navigation2,,2018-05-29 23:35:08,2025-07-03 15:02:56,2025-07-03 15:02:56,3215,119.0,1459,63,3061.0,79.0,2185.0,3237,2025-06-02 19:50:14,1.4.0,73.0,ROS 2 Navigation Framework and System.,310,25,True,,,1.0,,
3,Cosys-AirSim,Cosys-Lab/Cosys-AirSim,[],,AirSim,https://github.com/Cosys-Lab/Cosys-AirSim,https://cosys-lab.github.io/Cosys-AirSim/,mit,2022-08-22 09:24:58,2025-07-01 14:06:34,2025-04-16 10:05:50,5135,49.0,58,10,31.0,33.0,34.0,188,2025-04-16 10:16:26,5.5-v3.3,10.0,"AirSim is a simulator for drones, cars and more, built on Unreal Engine. We expand it with new implementations and..",261,22,True,3768.0,251.0,2.0,,
4,Gazebo,gazebosim/gz-sim,[],,AirSim,https://github.com/gazebosim/gz-sim,https://github.com/gazebosim/gz-sim,Apache-2.0,2020-04-15 09:17:50,2025-07-03 08:23:05,2025-06-18 19:49:07,7151,14.0,306,18,1992.0,415.0,552.0,942,2025-01-16 23:44:06,gz-sim9_9.0.0,6.0,Open source robotics simulator. The latest version of Gazebo.,154,20,True,,,2.0,https://gazebosim.org/api/sim/9/,-1.0
5,Isaac Visual Slam,NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,[],,Algorithms,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,https://github.com/NVIDIA-ISAAC-ROS/isaac_ros_visual_slam,Apache-2.0,2021-10-13 23:07:14,2025-06-30 20:56:50,2025-04-03 17:23:00,63,,158,17,35.0,57.0,105.0,1065,2025-04-03 23:57:47,3.2-6,16.0,Visual SLAM/odometry package based on NVIDIA-accelerated cuVSLAM.,4,15,True,,,3.0,,1.0
6,Aerial Gym Simulator,ntnu-arl/aerial_gym_simulator,[],,AirSim,https://github.com/ntnu-arl/aerial_gym_simulator,https://ntnu-arl.github.io/aerial_gym_simulator/,BSD-3-Clause,2023-04-04 20:48:46,2025-06-04 12:46:11,2025-06-04 12:45:31,55,4.0,80,17,10.0,6.0,28.0,519,2025-04-28 07:50:13,2.0.0,2.0,Aerial Gym Simulator - Isaac Gym Simulator for Aerial Robots.,4,15,True,,,3.0,,
7,Pegasus Simulator,PegasusSimulator/PegasusSimulator,[],,AirSim,https://github.com/PegasusSimulator/PegasusSimulator,https://pegasussimulator.github.io/PegasusSimulator/,BSD-3-Clause,2023-02-27 08:58:27,2025-06-03 17:02:13,2025-06-03 17:02:10,215,3.0,82,9,34.0,15.0,30.0,489,2024-11-01 18:42:42,4.2.0,5.0,A framework built on top of NVIDIA Isaac Sim for simulating drones with PX4 support and much more.,4,15,True,,,3.0,,
8,Isaac Sim,isaac-sim/IsaacSim,[],,AirSim,https://github.com/isaac-sim/IsaacSim,https://developer.nvidia.com/isaac/sim,Apache 2.0 and NVIDIA Omniverse License Agreement,2025-05-28 18:38:18,2025-06-18 21:30:52,2025-06-18 21:27:44,23,23.0,102,14,3.0,29.0,16.0,976,,,,"NVIDIA Isaac Sim is an open-source application on NVIDIA Omniverse for developing, simulating, and testing AI-driven..",5,10,True,,,3.0,,
9,Swarm Sync Sim,shupx/swarm_sync_sim,[],,AirSim,https://github.com/shupx/swarm_sync_sim,https://github.com/shupx/swarm_sync_sim,BSD-3-Clause,2024-10-27 06:09:01,2025-05-13 08:57:41,2025-03-18 12:46:41,197,,1,1,,,,8,,,,"swarm_sync_sim (also known as sss) is an ultra-lightweight, ROS-based simulator for robotic swarms, including..",6,7,False,,,3.0,,
